time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	7.10021e-315	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714343	0.588512	7.07429	3.04586e-17	-1.46276e-17	radar	74.3391	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16102	0.493478	7.07668	-0.0688146	-0.00827395	lidar	0.184996	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27665	0.513682	7.07176	0.192022	0.0387088	radar	1.81005	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61358	0.594651	7.09102	0.245131	0.052946	lidar	0.201401	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82135	0.569769	6.33571	0.0936188	-0.0571277	radar	4.2411	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15299	0.616066	6.35026	0.108343	-0.0292905	lidar	0.160289	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36899	0.64339	5.59288	0.0898391	-0.2118	radar	7.75593	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64778	0.666428	5.59551	0.0783835	-0.215934	lidar	0.00331816	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91484	0.65636	5.51094	0.0209405	-0.415244	radar	0.486034	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15004	0.653834	5.46817	0.0053847	-0.389312	lidar	1.08929	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43785	0.546196	5.50417	-0.157342	-0.872285	radar	1.50376	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74287	0.431244	5.57741	-0.287764	-1.13708	lidar	2.2424	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.0223	0.517033	5.54047	-0.143048	-0.570787	radar	4.06156	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29633	0.508181	5.52282	-0.137813	-0.487527	lidar	0.337393	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5561	0.544494	5.43425	-0.0957677	-0.339732	radar	1.9272	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74258	0.653932	5.25988	0.0108329	-0.0749822	lidar	12.4078	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99469	0.652292	5.19231	0.0015835	-0.0859314	radar	1.76112	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29625	0.647194	5.24938	-0.00878389	-0.0984776	lidar	2.62945	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55453	0.654076	5.27604	-0.00423718	-0.0808057	radar	1.73785	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84882	0.669029	5.31333	0.00202363	-0.0644344	lidar	1.67359	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09205	0.594567	5.24613	-0.0524575	-0.14666	radar	3.6158	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34698	0.708071	5.21996	0.022374	-0.0219512	lidar	3.95087	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59762	0.738656	5.18065	0.0361584	-0.000570131	radar	0.601985	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84518	0.737425	5.16768	0.0302767	-0.00856707	lidar	0.241841	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.08889	0.720018	5.08667	0.0143628	-0.0306381	radar	2.94586	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.30878	0.80392	5.03922	0.0582312	0.0295221	lidar	3.15731	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60037	0.814272	5.14563	0.0568704	0.0260266	radar	4.42865	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
